parcel_ID,year,month,bareground,scenario,bareground_envzone,bareground_reported,bareground_none
Llanos 2,0,1,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,2,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,3,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,4,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,5,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,6,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,7,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,8,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,9,TRUE,year0,TRUE,TRUE,FALSE
Llanos 2,0,10,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,11,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,0,12,FALSE,year0,FALSE,FALSE,FALSE
Llanos 2,1,1,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,1,2,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,1,3,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,1,4,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,1,5,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,1,6,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,1,7,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,1,8,TRUE,year1,TRUE,TRUE,FALSE
Llanos 2,1,9,TRUE,year1,TRUE,TRUE,FALSE
Llanos 2,1,10,TRUE,year1,TRUE,TRUE,FALSE
Llanos 2,1,11,TRUE,year1,TRUE,TRUE,FALSE
Llanos 2,1,12,FALSE,year1,FALSE,FALSE,FALSE
Llanos 2,2,1,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,2,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,3,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,4,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,5,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,6,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,7,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,8,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,9,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,10,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,11,FALSE,year2,FALSE,FALSE,FALSE
Llanos 2,2,12,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,0,1,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,2,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,3,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,4,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,5,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,6,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,7,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,8,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,9,TRUE,year0,TRUE,TRUE,FALSE
Cortijo,0,10,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,11,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,0,12,FALSE,year0,FALSE,FALSE,FALSE
Cortijo,1,1,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,2,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,3,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,4,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,5,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,6,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,7,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,8,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,9,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,10,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,11,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,1,12,FALSE,year1,FALSE,FALSE,FALSE
Cortijo,2,1,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,2,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,3,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,4,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,5,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,6,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,7,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,8,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,9,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,10,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,11,FALSE,year2,FALSE,FALSE,FALSE
Cortijo,2,12,FALSE,year2,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,1,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,2,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,3,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,4,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,5,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,6,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,7,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,8,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,9,TRUE,year0,TRUE,TRUE,FALSE
Linde Antonio / Habas,0,10,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,11,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,0,12,FALSE,year0,FALSE,FALSE,FALSE
Linde Antonio / Habas,1,1,FALSE,year1,FALSE,FALSE,FALSE
