crop,pedo_climatic_area,n_fixing_frac,n_ag,n_bg,r_ag_t,rs_t,dw_fresh,cf,r_s_ratio,dry_c,ag_dm_peak,r_turnover,s_turnover
Other,,0,0.008,0.009,1,0.22,0.85,1,0.22,0.44,,1,1
Other Vegetables,,0,0.008,0.009,1,0.22,0.85,1,0.22,0.44,,1,1
Generic Grains,,0,0.006,0.009,1.3,0.22,0.88,1,0.2,0.46,6,1,1
Wheat_continental,Continental,0,0.006,0.009,1.3,0.25,0.89,0.9,0.23,0.485,7.4,1,1
Wheat_mediterranean_north,Mediterranean north,0,0.006,0.009,1.3,0.25,0.89,0.9,0.23,0.485,3.5,1,1
Wheat_mediterranean_south,Mediterranean south,0,0.006,0.009,1.3,0.25,0.89,0.9,0.23,0.485,3,1,1
Wheat,,0,0.006,0.009,1.3,0.25,0.89,0.9,0.23,0.485,6,1,1
Winter Wheat,,0,0.006,0.009,1.3,0.23,0.89,0.9,0.23,0.485,6,1,1
Spring Wheat,,0,0.006,0.009,1.3,0.28,0.89,0.9,0.28,0.485,6,1,1
Barley,,0,0.007,0.014,1.2,0.22,0.89,1,0.22,0.456,,1,1
Oats,,0,0.007,0.008,1.3,0.25,0.89,1,0.25,0.46,6,1,1
Maize,,0,0.006,0.007,1,0.22,0.87,0.8,0.22,0.471,8,1,1
Corn,,0,0.006,0.007,1,0.22,0.87,0.8,0.22,0.471,8,1,1
Rye,,0,0.005,0.011,1.6,,0.88,1,0.2,0.46,,1,1
Rice,,0,0.007,0.009,1.4,0.16,0.89,0.8,0.16,0.414,,1,1
Millet,,0,0.007,0.009,1.4,0.22,0.9,1,0.2,0.46,,1,1
Sorghum,,0,0.007,0.006,1.4,,0.89,1,0.2,0.46,8,1,1
Cowpea,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.44,,1,1
Beans,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.44,,1,1
Peas,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.44,,1,1
Soybeans,,1,0.008,0.008,2.1,0.19,0.91,1,0.19,0.44,,1,1
Potatoes and Tubers,,0,0.019,0.014,0.4,0.2,0.22,1,0.2,0.423,,1,1
Peanuts,,0,0.016,0.019,1,,0.94,1,0.2,0.44,,1,1
Alfalfa,,1,0.027,0.019,0,0.4,0.9,1,0.4,0.44,,1,1
Vetch,,1,0.027,0.022,0.3,0.4,0.9,1,0.4,0.44,,1,1
Lupins,,1,0.027,0.022,0.3,0.4,0.9,1,0.4,0.44,,1,1
Triticale,,0,0.006,0.009,0.3,0.4,0.88,1,0.2,0.44,,1,1
Non-legume hay,,0,0.015,0.012,0,0.54,0.9,1,0.54,0.44,,1,1
N-fixing forages,,1,0.027,0.022,0.3,0.4,0.9,1,0.4,0.44,,1,1
Non-N-fixing dry forages,,0,0.015,0.012,0.3,0.54,0.9,1,0.54,0.44,,1,1
Perennial Grasses,,0,0.015,0.012,0.3,0.8,0.9,1,0.8,0.44,,0.34,0.38
Grass-Clover Mixtures,,0.14,0.025,0.016,0.3,0.8,0.9,1,0.8,0.44,,1,1
Italian Ryegrass,,0,0.015,0.012,0.3,0.54,0.9,1,0.8,0.44,6,1,1
Perennial Ryegrass,,0,0.015,0.012,0.3,0.54,0.9,1,0.8,0.44,6,0.34,0.38
Sudangrass,,0,0.015,0.012,0.3,0.54,0.9,1,0.8,0.44,5,1,1
Aromatics,,0,0.008,0.009,,,0.85,,0.22,0.44,3.5,0.34,0
Sunflower,,0,0.008,0.009,1.3,0.25,0.85,0.9,0.22,0.44,,1,1
Pumpkin,,0,0.008,0.009,1.3,0.25,0.85,0.9,0.22,0.44,,1,1
Squash,,0,0.008,0.009,1.3,0.25,0.85,0.9,0.22,0.44,,1,1
Beets,,0,0.008,0.009,1.3,0.25,0.85,0.9,0.22,0.44,,0,1
Generic Plant Mixture,,0.23,0.027,0.022,0.3,0.47,0.9,1,0.47,0.45,,1,1
Other Grains,,0,0.006,0.009,1.3,0.22,0.88,1,0.2,0.46,6,1,1
