crop,n_fixing_frac,n_ag,n_bg,dry,r_s_ratio,dry_c
other,0,0.008,0.009,0.85,0.22,0.44
other vegetables,0,0.008,0.009,0.85,0.22,0.44
other grains,0,0.006,0.009,0.88,0.2,0.46
wheat,0,0.006,0.009,0.89,0.23,0.485
winter wheat,0,0.006,0.009,0.89,0.23,0.485
spring wheat,0,0.006,0.009,0.89,0.28,0.485
barley,0,0.007,0.014,0.89,0.22,0.456
oats,0,0.007,0.008,0.89,0.25,0.46
maize,0,0.006,0.007,0.87,0.22,0.471
corn,0,0.006,0.007,0.87,0.22,0.471
rye,0,0.005,0.011,0.88,0.2,0.46
rice,0,0.007,0.009,0.89,0.16,0.414
millet,0,0.007,0.009,0.9,0.2,0.46
sorghum,0,0.007,0.006,0.89,0.2,0.46
cowpea,1,0.008,0.008,0.91,0.19,0.44
beans,1,0.008,0.008,0.91,0.19,0.44
peas,1,0.008,0.008,0.91,0.19,0.44
soybeans,1,0.008,0.008,0.91,0.19,0.44
potatoes and tubers,0,0.019,0.014,0.22,0.2,0.423
peanuts,0,0.016,0.019,0.94,0.2,0.44
alfalfa,1,0.027,0.019,0.9,0.4,0.44
vetch,1,0.027,0.022,0.9,0.4,0.44
lupins,1,0.027,0.022,0.9,0.4,0.44
triticale,0,0.006,0.009,0.88,0.2,0.44
non-legume hay,0,0.015,0.012,0.9,0.54,0.44
n-fixing forages,1,0.027,0.022,0.9,0.4,0.44
non-n-fixing forages,0,0.015,0.012,0.9,0.54,0.44
perennial grasses,0,0.015,0.012,0.9,0.8,0.44
grass-clover mixtures,0.14,0.025,0.016,0.9,0.8,0.44
italian ryegrass,0,0.015,0.012,0.9,0.8,0.44
perennial ryegrass,0,0.015,0.012,0.9,0.8,0.44
sudangrass,0,0.015,0.012,0.9,0.8,0.44
aromatics,0,0.008,0.009,0.85,0.22,0.44
sunflower,0,0.008,0.009,0.85,0.22,0.44
pumpkin,0,0.008,0.009,0.85,0.22,0.44
squash,0,0.008,0.009,0.85,0.22,0.44
beets,0,0.008,0.009,0.85,0.22,0.44
generic plant mixture,0.23,0.027,0.022,0.9,0.47,0.45
